"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJECORE_EFFECT_HEALTH","HEALTH","HEALTH","ZDRAVÍ","GESUNDHEIT","ЗДОРОВЬЕ","ZDROWIE","EGÉSZSÉG","SALUTE","SALUD","SANTÉ","健康","健康","SAÚDE","健康",
"STR_TERJECORE_EFFECT_BLOOD","BLOOD","BLOOD","KREV","BLUT","КРОВЬ","KREW","VÉR","SANGUE","SANGRE","SANG","血液","血液","SANGUE","血液",
"STR_TERJECORE_EFFECT_SHOCK","SHOCK","SHOCK","ŠOK","SCHOCK","ШОК","SZOK","SZOK","SHOCK","CHOQUE","CHOC","休克","ショック","CHOQUE","休克",
"STR_TERJECORE_EFFECT_ENERGY","NUTRITION","NUTRITION","VÝŽIVA","ERNÄHRUNG","ПИТАТЕЛЬНОСТЬ","POŻYWIENIE","TÁPLÁKOZÁS","NUTRIZIONE","NUTRICIÓN","NUTRITION","營養","栄養","NUTRIÇÃO","营养",
"STR_TERJECORE_EFFECT_WATER","HYDRATION","HYDRATION","HYDRATACE","HYDRATATION","ГИДРАЦИЯ","NAWODNIENIE","HIDRATÁCIÓ","IDRATAZIONE","HIDRATACIÓN","HYDRATATION","水分值","水分補給","HIDRATAÇÃO","水分值",
"STR_TERJECORE_PIS_HEALTH","Health","Health","Zdraví","Gesundheit","Здоровье","Zdrowie","Egészség","Salute","Salud","Santé","健康","健康","Saúde","健康",
"STR_TERJECORE_PIS_HEALTH_CRIT","Critically low level of health","Critically low level of health","Kriticky nízká úroveň zdraví","Kritisch niedrige Gesundheit","Критически низкий уровень здоровья","Krytycznie niski poziom zdrowia","Kritikusan alacsony egészségügyi szint","Salute criticamente bassa","Salud críticamente baja","État de santé critique","健康水平極低","非常に低いレベルの健康","Nível de saúde criticamente baixo","健康水平极低",
"STR_TERJECORE_PIS_HEALTH_LOW","Low level of health","Low level of health","Nízká úroveň zdraví","Niedrige Gesundheit","Низкий уровень здоровья","Niski poziom zdrowia","Alacsony egészségügyi szint","Bassa salute","Baja salud","Mauvaise santé","健康水平低","低レベルの健康","Baixa saúde","健康水平低",
"STR_TERJECORE_PIS_HEALTH_WARN","The level of health is below normal","The level of health is below normal","Úroveň zdraví pod normálem","Gesundheitsniveau ist niedriger als normal","Уровень здоровья ниже нормы","Poziom zdrowia poniżej normy","Az egészség szintje a normál alatt van","Livello di salute inferiore al normale","Nivel de salud por debajo de lo normal","Niveau de santé inférieur à la normale","健康水平低於正常範圍","健康のレベルは正常以下です","Saúde abaixo do normal","健康水平低于正常水平",
"STR_TERJECORE_PIS_BLOOD","Blood","Blood","Krev","Blut","Кровь","Krew","Vér","Sangue","Sangre","Sang","血液","血","Sangue","血",
"STR_TERJECORE_PIS_BLOOD_CRIT","Critically low blood levels","Critically low blood levels","Kriticky nízká hladina krve","Kritisch niedrige Blutwerte","Критически низкий уровень крови","Krytycznie niski poziom krwi","Kritikusan alacsony vérszint","Livelli ematici criticamente bassi","Niveles sanguíneos críticamente bajos","Taux sanguin extrêmement bas","血液水平低極低","血中濃度が非常に低い","Níveis sanguíneos extremamente baixos","血液浓度极低",
"STR_TERJECORE_PIS_BLOOD_LOW","Low blood levels","Low blood levels","Nízká hladina krve","Niedriger Blutspiegel","Низкий уровень крови","Niski poziom krwi","Alacsony vérszint","Bassi livelli ematici","Niveles bajos de sangre","Faible taux sanguin","血液水平低","低血中濃度","Baixos níveis sanguíneos","血液浓度低",
"STR_TERJECORE_PIS_BLOOD_WARN","The blood level is below normal","The blood level is below normal","Hladina krve pod normálem","Der Blutspiegel ist niedriger als normal","Уровень крови ниже нормы","Poziom krwi poniżej normy","A vérszint a normál alatt van","Livelli ematici inferiori al normale","Niveles de sangre por debajo de lo normal","Taux sanguin inférieur à la normale","血液水平低於正常範圍","血中濃度は正常以下です","Níveis sanguíneos abaixo do normal","血液浓度水平低于正常水平",
"STR_TERJECORE_PIS_BBONES","Fractures","Fractures","Zlomenina","Frakturen","Переломы","Złamanie","Törések","Fratture","Fracturas","Fractures","骨折","骨折","Fratura","骨折",
"STR_TERJECORE_PIS_BBONES_LEGS","Closed bone fracture in one of the legs","Closed bone fracture in one of the legs","Uzavřená zlomenina kosti v jedné z nohou","Geschlossener Knochenbruch in einem der Beine","Закрытый перелом кости в одной из ног","Zamknięte złamanie kości w jednej z nóg","Zárt csonttörés az egyik lábon","Frattura ossea chiusa in una delle gambe","Fractura de hueso cerrada en una de las piernas","Fracture osseuse fermée dans l'une des jambes","一條腿閉合性骨折","片方の脚の閉じた骨折","Fratura óssea fechada em uma das pernas","一条腿闭合性骨折",
"STR_TERJECORE_PIS_INCUBATION","Incubation period (without symptoms of the disease)","Incubation period (without symptoms of the disease)","Inkubační doba (bez příznaků onemocnění)","Inkubationszeit (ohne Krankheitssymptome)","Инкубационный период (без симптомов болезни)","Okres inkubacji (bez objawów choroby)","Inkubációs időszak (a betegség tünetei nélkül)","Periodo di incubazione (senza sintomi di malattia)","Período de incubación (sin síntomas de enfermedad)","Période d'incubation (sans symptômes)","潛伏期（無症狀階段）","潜伏期間（病気の症状なし）","Período de incubação (sem sintomas)","潜伏期（无症状阶段）",
