"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJESKILL_ATHLETIC_NAME","ATHLETIC","ATHLETIC","ATLETIKA","ATHLETIK","АТЛЕТИКА","Lekkoatletyka","Atlétika","ATLETICA","ATLETISMO","ATHLÉTISME","田径","陸上競技","ATLETISMO","田径",
"STR_TERJESKILL_STRENGTH_NAME","STRENGTH","STRENGTH","PEVNOST","STÄRKE","СИЛА","WYTRZYMAŁOŚĆ","ERŐ","FORZA","FORTALEZA","FORCE","力量","強さ","FORÇA","力量",
"STR_TERJEPERK_ATH_QUICKFEET","Quick legs","Quick legs","Rychlé nohy","Schnelle Beine","Быстрые ноги","Szybkie nogi","Gyors lábak","Gambe veloci","Piernas rápidas","Jambes rapides","快腿","クイックレッグス","Pernas rápidas","快腿",
"STR_TERJEPERK_ATH_QUICKFEET_DES","You spend less stamina when sprinting. Thanks to excellent physical fitness and energy savings, you can maintain high speed for longer without getting tired so quickly.","You spend less stamina when sprinting. Thanks to excellent physical fitness and energy savings, you can maintain high speed for longer without getting tired so quickly.","Při sprintu ztrácíte méně vytrvalosti. Díky skvělé fyzické kondici a úspoře energie můžete udržet vysokou rychlost déle, aniž byste se tak rychle unavili.","Sie verbringen weniger Ausdauer beim Sprinten. Mit hervorragender körperlicher Fitness und Energieeinsparungen können Sie Ihre Geschwindigkeit länger halten, ohne so schnell zu ermüden.","Вы тратите меньше выносливости при спринте. Благодаря отличной физической подготовке и экономии энергии, вы можете дольше поддерживать высокую скорость, не утомляясь так быстро.","Podczas sprintu wydajesz mniej wytrzymałości. Dzięki doskonałemu przygotowaniu fizycznemu i oszczędności energii możesz dłużej utrzymywać dużą prędkość bez zmęczenia tak szybko.","Kevesebb állóképességet költ sprintelés közben. A kiváló fizikai erőnlétnek és az energiamegtakarításnak köszönhetően hosszabb ideig képes fenntartani a nagy sebességet anélkül, hogy ilyen gyorsan elfáradna.","Spendi meno resistenza durante lo sprint. Con un'eccellente forma fisica e un risparmio energetico, puoi mantenere l'alta velocità più a lungo senza stancarti così velocemente.","Gastas menos resistencia al correr. Gracias a su excelente condición física y ahorro de energía, puede mantener su alta velocidad por más tiempo sin cansarse tan rápido.","Vous dépensez moins d'endurance au Sprint. Avec une excellente condition physique et des économies d'énergie, vous pouvez maintenir une vitesse élevée plus longtemps sans vous fatiguer aussi vite.","你在短跑时花费的耐力较少。 由于出色的体能和节能，您可以保持更长时间的高速度，而不会如此快地感到疲倦。","全力疾走するときより少ないスタミナを使う。 優れた体力とエネルギー節約のおかげで、あなたはそれほど早く疲れずに長く高速を維持することができます。","Você gasta menos resistência ao correr. Com excelente condicionamento físico e economia de energia, você pode manter a alta velocidade por mais tempo sem se cansar tão rápido.","你在短跑时花费的耐力较少。 由于出色的体能和节能，您可以保持更长时间的高速度，而不会如此快地感到疲倦。",
"STR_TERJEPERK_ATH_MARATHONER","Marathoner","Marathoner","Maratonec","Marathonläufer","Марафонец","Maratończyk","Maratoni futó","Maratoneta","Maratoniano","Marathonien","马拉松运动员","マラソンランナー","Maratona","马拉松运动员",
"STR_TERJEPERK_ATH_MARATHONER_DES","You regain stamina faster when jogging. Thanks to the effective distribution of strength and breathing, your stamina is restored even in motion, allowing you to continue running longer without having to stop to rest.","You regain stamina faster when jogging. Thanks to the effective distribution of strength and breathing, your stamina is restored even in motion, allowing you to continue running longer without having to stop to rest.","Při běhání obnovíte vytrvalost rychleji. Díky účinnému rozložení sil a dýchání se vaše stamina regeneruje i v pohybu, což vám umožní pokračovat v běhu déle, aniž byste se museli zastavit na odpočinek.","Sie regenerieren Ihre Ausdauer schneller beim Joggen. Durch eine effektive Kraftverteilung und Atmung erholt sich Ihr Stamm auch in Bewegung, so dass Sie länger laufen können, ohne zur Ruhe anhalten zu müssen.","Вы восстанавливаете выносливость быстрее при беге трусцой. Благодаря эффективному распределению сил и дыханию, ваша стамина восстанавливается даже в движении, позволяя вам продолжать бег дольше без необходимости останавливаться для отдыха.","Szybciej odzyskujesz wytrzymałość podczas joggingu. Dzięki wydajnemu rozkładowi siły i oddychaniu twoja stamina regeneruje się nawet w ruchu, umożliwiając dłuższe bieganie bez konieczności zatrzymywania się na odpoczynek.","Kocogás közben gyorsabban visszanyeri az állóképességet. Az erő és a légzés hatékony eloszlásának köszönhetően az állóképesség még mozgásban is helyreáll, lehetővé téve, hogy hosszabb ideig futhasson anélkül, hogy meg kellene állnia pihenni.","Riacquisti la resistenza più velocemente quando fai jogging. Con un'efficace distribuzione della forza e della respirazione, la tua stamina si rigenera anche in movimento, permettendoti di continuare a correre più a lungo senza doverti fermare per riposare.","Recuperas la resistencia más rápido al trotar. A través de una distribución eficiente de la fuerza y la respiración, su stamina se recupera incluso en movimiento, lo que le permite seguir corriendo por más tiempo sin tener que detenerse para descansar.","Restaure la stamine plus rapidement en faisant du jogging","慢跑时你恢复耐力更快。 由于力量和呼吸的有效分配，你的耐力甚至在运动中恢复，让你继续跑更长的时间，而不必停下来休息。","ジョギングするとスタミナが早く回復します。 強さと呼吸の効果的な分布のおかげで、あなたのスタミナは動いていても回復し、休むために止まることなくより長く走り続けることができます。","Você restaura a resistência mais rapidamente ao correr. Com uma distribuição eficaz de força e respiração, sua stamina se recupera mesmo em movimento, permitindo que você continue correndo por mais tempo sem ter que parar para descansar.","慢跑时你恢复耐力更快。 由于力量和呼吸的有效分配，你的耐力甚至在运动中恢复，让你继续跑更长的时间，而不必停下来休息。",
"STR_TERJEPERK_ATH_PROPERBREATHING","Proper breathing","Proper breathing","Správné dýchání","Richtige Atmung","Правильное дыхание","Prawidłowe oddychanie","Megfelelő légzés","Respirazione corretta","Respiración rítmica","Bonne respiration","适当的呼吸","適切な呼吸","Respiração correta","适当的呼吸",
"STR_TERJEPERK_ATH_PROPERBREATHING_DES","You recover stamina faster by standing still. The ability to quickly relax and regain strength allows you to quickly return stamina to a static position, and always be ready for new actions.","You recover stamina faster by standing still. The ability to quickly relax and regain strength allows you to quickly return stamina to a static position, and always be ready for new actions.","Vytrvalost obnovíte rychleji, když stojíte na místě. Schopnost rychle relaxovat a obnovit sílu Vám umožňuje rychleji získat zpět staminu ve statické poloze a být vždy připraven na nové akce.","Sie stellen die Ausdauer schneller wieder her, indem Sie still stehen. Die Fähigkeit, sich schnell zu entspannen und Kraft wiederherzustellen, ermöglicht es Ihnen, den Stamm schneller in eine statische Position zu bringen und immer auf neue Aktivitäten vorbereitet zu sein.","Вы восстанавливаете выносливость быстрее, стоя на месте. Способность быстро расслабляться и восстанавливать силы позволяет вам быстрее вернуть стамину в статичном положении, и всегда быть готовым к новым действиям.","Szybciej odzyskujesz wytrzymałość, stojąc nieruchomo. Zdolność do szybkiego relaksu i regeneracji pozwala szybciej przywrócić staminę w pozycji statycznej i zawsze być gotowym na nowe działania.","Az állóképességet gyorsabban helyreállítja, ha áll. Az a képesség, hogy gyorsan pihenjen és visszanyerje erejét, lehetővé teszi, hogy gyorsan visszatérjen az állóképesség statikus helyzetbe, és mindig készen álljon az új műveletekre.","Riacquisti la resistenza più velocemente stando fermo. La capacità di rilassarsi e recuperare rapidamente ti consente di riportare la stamina in una posizione statica più rapidamente ed essere sempre pronto per nuove azioni.","Recuperas la resistencia más rápido mientras te quedas quieto. La capacidad de relajarse rápidamente y recuperar la fuerza le permite volver a stamina en una posición estática más rápido, y siempre estar listo para nuevas acciones.","Vous récupérez l'endurance plus rapidement en restant immobile. La capacité de se détendre rapidement et de récupérer de la force vous permet de ramener le STAMINA dans une position statique plus rapidement et d'être toujours prêt pour de nouvelles activités.","你通过站着不动来更快地恢复耐力. 快速放松和恢复力量的能力可以让您快速将耐力恢复到静态位置，并随时准备好新的行动。","じっと立っているとスタミナが早く回復します。 すぐにリラックスして力を取り戻す能力は、スタミナを静的な位置にすばやく戻し、常に新しい行動の準備をすることを可能にします。","Você restaura a resistência mais rapidamente em pé. A capacidade de relaxar rapidamente e recuperar forças permite que você retorne rapidamente a Estamina a uma posição estática e esteja sempre pronto para novas ações.","你通过站着不动来更快地恢复耐力. 快速放松和恢复力量的能力可以让您快速将耐力恢复到静态位置，并随时准备好新的行动。",
"STR_TERJEPERK_ATH_SWIMMER","Swimmer","Swimmer","Plavec","Schwimmer","Пловец","Pływak","Úszó","Nuotatore","Nadador","Nageur","游泳运动员","スイマー","Nadador","游泳运动员",
